product_id,annotated_image_name,fabric_types_clean,wear_types_clean,colors_clean,textures_clean,value_additions_clean
6,0560000072958_1.jpg,Cotton,Saree,"orange,grey,purple",Machine Embroidery,
6,0560000072958_1.jpg___full.png,Cotton,Saree,"orange,grey,purple,red",Machine Embroidery,
7,0560000069137.jpg,Cotton,Saree,red,"Machine Embroidery,Floral",Printed
7,0560000069137.jpg___dress.png,Cotton,Saree,red,"Machine Embroidery,Printed,Floral",
7,0560000069137_2.jpg,Cotton,Saree,"orange,red","Machine Embroidery,Floral",
7,0560000069137_2.jpg___dress.png,Cotton,Saree,"orange,red","Machine Embroidery,Floral",
7,0560000069137_1.jpg,Cotton,Saree,red,"Machine Embroidery,Screen Print",
7,0560000069137_1.jpg___dress.png,Cotton,Saree,red,"Machine Embroidery,Screen Print",
8,0560000069011.jpg,Cotton,Saree,red,Block Print,Block Print
8,0560000069011.jpg___dress.png,Cotton,Saree,red,Block Print,Block Print
8,0560000069011_2.jpg,Cotton,Saree,red,Block Print,Block Print
8,0560000069011_2.jpg___dress.png,Cotton,Saree,red,Block Print,Block Print
8,0560000069011_1.jpg,Cotton,Saree,red,Block Print,Block Print
8,0560000069011_1.jpg___dress.png,Cotton,Saree,red,Block Print,Block Print
9,0560000070497.jpg,Cotton,Saree,red,"Machine Embroidery,Printed",
9,0560000070497.jpg___dress.png,Cotton,Saree,red,"Machine Embroidery,Printed",
9,0560000070497_2.jpg,Cotton,Saree,"red,golden","Machine Embroidery,Printed",
9,0560000070497_2.jpg___dress.png,Cotton,Saree,"red,golden","Machine Embroidery,Printed",
9,0560000070497_1.jpg,Cotton,Saree,"red,golden","Machine Embroidery,Printed",
9,0560000070497_1.jpg___dress.png,Cotton,Saree,"red,golden","Machine Embroidery,Printed",
10,0560000072953.jpg,Cotton,Saree,"red,golden","Machine Embroidery,Printed",
10,0560000072953.jpg___dress.png,Cotton,Saree,"red,golden","Machine Embroidery,Printed",
10,0560000072953_2.jpg,Cotton,Saree,"red,golden","Machine Embroidery,Printed",
10,0560000072953_2.jpg___dress.png,Cotton,Saree,"red,golden","Machine Embroidery,Printed",
10,0560000072953_1.jpg,Cotton,Saree,"red,yellow,golden","Machine Embroidery,Printed",
10,0560000072953_1.jpg___dress.png,Cotton,Saree,"red,yellow,golden","Machine Embroidery,Printed",
10,0560000072953_1.jpg___full.png,Cotton,Saree,"red,yellow,golden","Machine Embroidery,Printed",
11,0560000069371.jpg,Cotton,Saree,"orange,red,golden","Screen Print,Printed",Screen Print
11,0560000069371.jpg___dress.png,Cotton,Saree,"red,golden","Screen Print,Printed",Screen Print
11,0560000069371_2.jpg,Cotton,Saree,"red,golden","Screen Print,Printed",Screen Print
11,0560000069371_2.jpg___dress.png,Cotton,Saree,red,"Screen Print,Printed",Screen Print
11,0560000069371_1.jpg,Cotton,Saree,"red,golden","Screen Print,Printed",Screen Print
11,0560000069371_1.jpg___full.png,Cotton,Saree,"red,golden",Screen Print,Screen Print
12,0560000069100.jpg,Cotton,Saree,pink,"Block Print,Printed",Block Print
12,0560000069100.jpg___dress.png,Cotton,Saree,pink,Block Print,Block Print
12,0560000069100_2.jpg,Cotton,Saree,pink,"Block Print,Printed",Block Print
12,0560000069100_2.jpg___dress.png,Cotton,Saree,pink,"Block Print,Printed",Block Print
12,0560000069100_2.jpg___full.png,Cotton,Saree,pink,Block Print,Block Print
12,0560000069100_1.jpg,Cotton,Saree,pink,Block Print,Block Print
12,0560000069100_1.jpg___full.png,Cotton,Saree,pink,Block Print,Block Print
2,0560000073100.jpg,Cotton,Saree,"red,white",screen print,
2,0560000073100.jpg___dress.png,Cotton,Saree,"red,white",screen print,
2,0560000073100_2.jpg,Cotton,Saree,"grey,red,white",screen print,
2,0560000073100_2.jpg___dress.png,Cotton,Saree,"grey,red,white",screen print,
3,0560000072853.jpg,Cotton,Saree,"orange,red,blue,white","embroidery,printed",
3,0560000072853.jpg___dress.png,Cotton,Saree,"orange,red,blue,white","embroidery,printed",
3,0560000072853_2.jpg___dress.png,Cotton,Saree,"orange,red,blue,white","embroidery,printed",
13,0560000069851.jpg,Cotton,Saree,pink,"embroidery,printed",
13,0560000069851.jpg___full.png,Cotton,Saree,"orange,pink","embroidery,printed",
13,0560000069851_2.jpg,Cotton,Saree,"orange,pink,blue","embroidery,printed",
13,0560000069851_1.jpg___full.png,Cotton,Saree,"orange,pink","embroidery,printed,dot",
14,0560000072297.jpg,Cotton,Saree,"yellow,purple,blue","tie dye,screen print",
14,0560000072297.jpg___dress.png,Cotton,Saree,"yellow,purple,blue","tie dye,screen print",
14,0560000072297_2.jpg,Cotton,Saree,"grey,blue","tie dye,screen print",
14,0560000072297_2.jpg___dress.png,Cotton,Saree,"grey,blue","tie dye,screen print",
14,0560000072297_1.jpg___full.png,Cotton,Saree,"orange,purple,blue","tie dye,screen print",
6823,0570000127321.jpg,Viscose Blend,Panjabi,"red,black",block print,
6823,0570000127321.jpg___full.png,Viscose Blend,Panjabi,"red,black",block print,
6823,0570000127321_1.jpg,Viscose Blend,Panjabi,"red,black",block print,
1628,0540000023890_1.jpg,Silk,Saree,"grey,yellow,green,red","embroidery,printed",
1628,0540000023890_1.jpg___dress.png,Silk,Saree,"grey,yellow,green,red","embroidery,printed",
1628,0540000023890_2.jpg,Silk,Saree,"grey,yellow,green,red","embroidery,printed",
1628,0540000023890_2.jpg___full.png,Silk,Saree,"grey,yellow,green,red","embroidery,printed",
2621,1420000167233.jpg,Cotton,Shalwar Kameez,"orange,yellow,blue","embroidery,printed,striped",
2621,1420000167233.jpg___full.png,Cotton,Shalwar Kameez,"orange,yellow,blue","embroidery,printed,striped",
2621,1420000167233_3.jpg,Cotton,Shalwar Kameez,"orange,yellow,blue","embroidery,printed,striped",
2621,1420000167233_3.jpg___full.png,Cotton,Shalwar Kameez,"orange,yellow,blue","embroidery,printed,striped",
2621,1420000167233_1.jpg,Cotton,Shalwar Kameez,"orange,yellow,blue","embroidery,printed,striped",
2621,1420000167233_1.jpg___full.png,Cotton,Shalwar Kameez,"orange,yellow,blue","embroidery,printed,striped",
2621,1420000167233_1.jpg___upper.png,Cotton,Shalwar Kameez,"yellow,blue","embroidery,printed,striped",
256,0560000073341_3.jpg,Cotton,Saree,"red,brown,black,yellow",,tangail
256,0560000073341_3.jpg___full.png,Cotton,Saree,"red,yellow,black",,tangail
256,0560000073341_2_1.jpg,Cotton,Saree,"red,yellow,black,green",,tangail
256,0560000073341_1_1.jpg,Cotton,Saree,"black,grey,yellow,red",,tangail
2620,1420000168181.jpg,Cotton,Shalwar Kameez,"brown,blue","embroidery,printed",
2620,1420000168181.jpg___full.png,Cotton,Shalwar Kameez,"brown,blue","embroidery,printed",
2620,1420000168189_3.jpg,Cotton,Shalwar Kameez,"brown,blue,green","embroidery,printed",
2620,1420000168181_1.jpg,Cotton,Shalwar Kameez,"brown,blue,green","embroidery,printed",
2620,1420000168181_1.jpg___dress.png,Cotton,Shalwar Kameez,"brown,blue,green","embroidery,printed",
7361,0570000116591.jpg,Viscose Blend,Panjabi,"blue,white","block print,textured",
7361,0570000116591.jpg___dress.png,Viscose Blend,Panjabi,"blue,white","block print,textured",
2317,1420000177720.jpg,Cotton,Shalwar Kameez,"red,pink","check,dye,embroidery,floral,printed",
2317,1420000177720.jpg___full.png,Cotton,Shalwar Kameez,"red,pink","check,dye,embroidery,floral,printed",
2317,1420000177728_3_1.jpg,Cotton,Shalwar Kameez,"red,pink","check,dye,embroidery,floral,printed",
7182,0570000117504.jpg,Viscose Blend,Panjabi,"blue,white,green",block print,
7182,0570000117504.jpg___dress.png,Viscose Blend,Panjabi,"blue,white,green",block print,
7182,0570000117504_1.jpg,Viscose Blend,Panjabi,"blue,white,green",block print,
2123,0540000022970_1.jpg,Silk,Saree,"grey,red","embroidery,nakshi,printed",nakshi
2123,0540000022970_1.jpg___full.png,Silk,Saree,"grey,red","embroidery,nakshi,printed",nakshi
2123,0540000022970_3.jpg,Silk,Saree,"grey,red","embroidery,nakshi,printed",nakshi
6526,0570000129828.jpg,Viscose Blend,Panjabi,"orange,red","block print,textured",
6526,0570000129828.jpg___full.png,Viscose Blend,Panjabi,"orange,red,black","block print,textured",
6526,0570000129828.jpg___upper.png,Viscose Blend,Panjabi,"orange,red","block print,textured",
2860,1420000166325.jpg,Voile,Shalwar Kameez,"brown,black,pink","embroidery,printed",
2860,1420000166325.jpg___full.png,Voile,Shalwar Kameez,"brown,black,pink","embroidery,printed",
2860,1420000166325.jpg___upper.png,Voile,Shalwar Kameez,"brown,black,pink,yellow","embroidery,printed",
2860,1420000166325_3.jpg,Voile,Shalwar Kameez,"brown,black,pink,yellow","embroidery,printed",
2860,1420000166325_3.jpg___full.png,Voile,Shalwar Kameez,"brown,black,pink,yellow","embroidery,printed",
2860,1420000166325_2.jpg,Voile,Shalwar Kameez,"brown,black,pink,yellow","embroidery,printed",
1135,0560000066579.jpg,Cotton,Saree,"grey,blue,white,green","tie dye,screen print",
1135,0560000066579.jpg___dress.png,Cotton,Saree,"grey,blue,white,green","tie dye,screen print",
1135,0560000066579_2.jpg,Cotton,Saree,"grey,blue,white,green","tie dye,screen print",
1135,0560000066579_1.jpg,Cotton,Saree,"grey,blue,white,green","tie dye,screen print",
1135,0560000066579_1.jpg___dress.png,Cotton,Saree,"white,green","tie dye,screen print",
1135,0560000066579_1.jpg___full.png,Cotton,Saree,"grey,blue,white,green","tie dye,screen print",
2651,1420000161192.jpg,Cotton,Shalwar Kameez,"orange,pink,white","embroidery,printed,textured",
2651,1420000161192.jpg___dress.png,Cotton,Shalwar Kameez,"orange,purple,white","embroidery,printed,textured",
2651,1420000161184_3.jpg,Cotton,Shalwar Kameez,"red,pink,purple","embroidery,printed,textured",
2651,1420000161184_1.jpg___full.png,Cotton,Shalwar Kameez,"orange,pink,purple,white","embroidery,printed,textured",
1621,0540000023216.jpg,Silk,Saree,"purple,white,green","dye,embroidery,printed",
1621,0540000023216.jpg___dress.png,Silk,Saree,"purple,white,green","dye,embroidery,printed",
1621,0540000023216_2.jpg,Silk,Saree,"purple,white,green","dye,embroidery,printed",
1621,0540000023216_2.jpg___full.png,Silk,Saree,"purple,green","dye,embroidery,printed",
3454,0660000104647.jpg,Viscose,Shawls,"red,pink",screen print,fringe
3454,0660000104647.jpg___dress.png,Viscose,Shawls,"red,pink",screen print,fringe
3454,0660000104647_2.jpg,Viscose,Shawls,"red,pink,green",screen print,fringe
3454,0660000104647_1.jpg,Viscose,Shawls,"red,pink,green",screen print,fringe
130,0560000073700.jpg,Cotton,Saree,"red,blue",,
130,0560000073700.jpg___full.png,Cotton,Saree,"red,yellow,blue",,
130,0560000073700_2.jpg,Cotton,Saree,"red,yellow,blue",,
130,0560000073700_1.jpg,Cotton,Saree,"red,yellow,blue",,
2149,0540000023537.jpg,Silk,Saree,"red,green","embroidery,nakshi,printed",nakshi
2149,0540000023537.jpg___full.png,Silk,Saree,"red,green","embroidery,nakshi,printed",nakshi
2149,0540000023537_2.jpg,Silk,Saree,"red,green","embroidery,nakshi,printed",nakshi
2149,0540000023537_1.jpg,Silk,Saree,"red,yellow,green","embroidery,nakshi,printed",nakshi
7024,0570000121964.jpg,Viscose Blend,Panjabi,"pink,white",block print,
7024,0570000121964.jpg___full.png,Viscose Blend,Panjabi,"pink,white",block print,
7024,0570000121964_1.jpg,Viscose Blend,Panjabi,"pink,white",block print,
7654,0470000103818.jpg,Viscose,Scarves,"red,brown",,handloom
7654,0470000103818.jpg___full.png,Viscose,Scarves,"red,yellow",,handloom
7931,0460000029281.jpg,Voile,Nightwear,"grey,yellow,black,pink","embroidery,printed",
7931,0460000029281.jpg___dress.png,Voile,Nightwear,"grey,yellow,black","embroidery,printed",
7931,0460000029281_1.jpg,Voile,Nightwear,"grey,yellow,black,pink","embroidery,printed",
2819,1420000175026.jpg,Cotton,Shalwar Kameez,"orange,yellow,white","dye,embroidery,printed",sequins
2819,1420000175026.jpg___dress.png,Cotton,Shalwar Kameez,"orange,yellow,white","dye,embroidery,printed",sequins
2819,1420000175026_2.jpg,Cotton,Shalwar Kameez,"orange,yellow,white","dye,embroidery,printed",sequins
2819,1420000175026_2.jpg___dress.png,Cotton,Shalwar Kameez,"orange,yellow,white","dye,embroidery,printed",sequins
2819,1420000175034.jpg___full.png,Cotton,Shalwar Kameez,"orange,yellow,white","dye,embroidery,printed",sequins
3183,0410000103582.jpg,Viscose,Maternity,"orange,pink,blue","embroidery,printed,textured",
3183,0410000103582.jpg___dress.png,Viscose,Maternity,"orange,pink,blue","embroidery,printed,textured",
3183,0410000103582_2.jpg,Viscose,Maternity,"pink,blue,black,orange,white","embroidery,printed,textured",
732,0560000071856.jpg,Cotton,Saree,"black,cyan,golden",,
732,0560000071856.jpg___full.png,Cotton,Saree,"black,cyan,golden",,
732,0560000071856_2.jpg,Cotton,Saree,"cyan,golden",,
732,0560000071856_1.jpg,Cotton,Saree,"black,cyan,golden",,
7337,0570000116615.jpg,Viscose Blend,Panjabi,"yellow,cyan,white",block print,
7337,0570000116615.jpg___dress.png,Viscose Blend,Panjabi,"yellow,cyan,white",block print,
7337,0570000116615_2.jpg,Viscose Blend,Panjabi,"grey,yellow,cyan,white",block print,
7337,0570000116615_1.jpg___full.png,Viscose Blend,Panjabi,"grey,yellow,cyan,white",block print,
6692,0570000117036.jpg,Cotton,Panjabi,"brown,white",block print,
6692,0570000117036.jpg___full.png,Cotton,Panjabi,"brown,white",block print,
6692,0570000117036_1.jpg,Cotton,Panjabi,"brown,white,golden",block print,
2418,1420000166833_1.jpg,Voile,Shalwar Kameez,"blue,golden,black,orange,yellow,red","wax dye,embroidery,printed",
2418,1420000166835_2.jpg,Voile,Shalwar Kameez,"red,brown,black,golden","wax dye,embroidery,printed",
1252,0550000152486.jpg,Muslin,Saree,"orange,red,white","embroidery,printed",
1252,0550000152486.jpg___full.png,Muslin,Saree,"orange,red,white","embroidery,printed",
1252,0550000152486_2.jpg,Muslin,Saree,"orange,red,white,golden","embroidery,printed",
1252,0550000152486_1.jpg,Muslin,Saree,"orange,red,white,golden","embroidery,printed",
8029,0460000028420.jpg,Linen,Nightwear,"yellow,blue,white","embroidery,printed",
8029,0460000028420_1.jpg,Linen,Nightwear,"yellow,black,blue","embroidery,printed",
7578,0470000103959.jpg,Viscose,Scarves,"yellow,green",printed,
6888,0570000125697.jpg,Viscose,Panjabi,"grey,brown,yellow",block print,
6888,0570000125697.jpg___full.png,Viscose,Panjabi,"grey,brown,yellow",block print,
8000,0460000028987.jpg,Linen,Nightwear,yellow,"embroidery,printed",
8000,0460000028987.jpg___dress.png,Linen,Nightwear,yellow,"embroidery,printed",
8000,0460000028987_2.jpg,Linen,Nightwear,yellow,"embroidery,printed",
7465,0410000095968.jpg,Cotton,Coats & Jackets,"black,golden,cyan,green",screen print,
822,0560000069251.jpg,Cotton,Saree,"blue,cyan,golden,green,red",block print,
7720,0470000103471.jpg,Silk,Scarves,"red,black",hand paint,
7341,0570000116186.jpg,Cotton,Panjabi,"yellow,white",block print,
7341,0570000116186.jpg___dress.png,Cotton,Panjabi,"yellow,white",block print,
7341,0570000116186_1.jpg,Cotton,Panjabi,"yellow,white",block print,
7508,0410000101878.jpg,Viscose,Skirts,"yellow,pink,green","tie dye,printed,textured",
7508,0410000101878_1.jpg,Viscose,Skirts,"yellow,pink,green","tie dye,printed,textured",
8008,0460000027975.jpg,Voile,Nightwear,"black,blue,cyan","embroidery,printed",
2724,1420000171858.jpg,Viscose Blend,Shalwar Kameez,"black,yellow,cyan,green","embroidery,printed",tassels
2724,1420000171858.jpg___full.png,Viscose Blend,Shalwar Kameez,"black,yellow,cyan,green","embroidery,printed",tassels
2724,1420000171850_2.jpg,Viscose Blend,Shalwar Kameez,"black,yellow,cyan,green","embroidery,printed",tassels
2724,1420000171858_1.jpg___upper.png,Viscose Blend,Shalwar Kameez,"black,yellow,cyan,green","embroidery,printed",tassels
7709,0470000103439.jpg,Silk,Scarves,blue,hand paint,
7709,0470000103439.jpg___dress.png,Silk,Scarves,"blue,white",hand paint,
315,0560000068184.jpg,Cotton,Saree,"brown,black,blue,green",block print,
315,0560000068184_2.jpg,Cotton,Saree,"brown,blue,green",block print,
880,0560000068688.jpg,Cotton,Saree,"orange,red,purple","applique,embroidery,printed",applique
880,0560000068688_2.jpg,Cotton,Saree,"purple,pink","applique,embroidery,printed",applique
880,0560000068688_1.jpg___full.png,Cotton,Saree,"orange,red,black","applique,embroidery,printed",applique
6350,1190000012186.jpg,Viscose,Kurta,"brown,yellow,blue,golden","embroidery,screen print,textured",
6350,1190000012186.jpg___dress.png,Viscose,Kurta,"brown,yellow,blue,golden","embroidery,screen print,textured",
6350,1190000012186_1.jpg,Viscose,Kurta,"brown,yellow,blue,golden","embroidery,screen print,textured",
349,0560000071049.jpg,Cotton,Saree,"orange,red,yellow,black",,"baluchari,tangail"
349,0560000071049_2.jpg,Cotton,Saree,"red,yellow,black",,"baluchari,tangail"
2698,1420000167257.jpg,Viscose Blend,Shalwar Kameez,"red,yellow,purple","embroidery,printed",handloom
2698,1420000167257.jpg___full.png,Viscose Blend,Shalwar Kameez,"red,yellow,purple","embroidery,printed",handloom
2698,1420000167257_2.jpg___full.png,Viscose Blend,Shalwar Kameez,"red,yellow,purple","embroidery,printed",handloom
2698,1420000167257_1.jpg___full.png,Viscose Blend,Shalwar Kameez,"red,yellow,purple","embroidery,printed",handloom
1857,0540000022797.jpg,Silk,Saree,"blue,green","embroidery,printed",
1857,0540000022797.jpg___dress.png,Silk,Saree,"blue,green","embroidery,printed",
1857,0540000022797_3.jpg___dress.png,Silk,Saree,"blue,green","embroidery,printed",
1857,0540000022797_1.jpg___dress.png,Silk,Saree,"blue,green","embroidery,printed",
1857,0540000022797_1.jpg,Silk,Saree,"blue,green","embroidery,printed",
7744,0470000103350.jpg,Silk,Scarves,"red,yellow,blue",hand paint,
588,0560000069959.jpg,Cotton,Saree,"grey,black,blue,golden",,
588,0560000069959_2.jpg,Cotton,Saree,"grey,blue,golden",,
8041,0460000028275.jpg___full.png,Linen,Nightwear,"black,white",screen print,
3355,0410000104817.jpg,Cotton,Maternity,grey,,
2662,1420000158845.jpg,Viscose,Shalwar Kameez,"orange,white,green","tie dye,embroidery,printed",
536,0560000070316.jpg,Cotton,Saree,"orange,grey,black,red","nakshi,striped",nakshi
536,0560000070316_2.jpg,Cotton,Saree,"cyan,orange,grey,yellow,red","nakshi,striped",nakshi
536,0560000070316_1.jpg___dress.png,Cotton,Saree,"orange,grey,yellow,red","nakshi,striped",nakshi
7516,0410000098562.jpg,Viscose,Skirts,"blue,cyan,golden,green,brown",screen print,
7516,0410000098562.jpg___full.png,Viscose,Skirts,"pink,cyan,green,golden,blue,brown",screen print,
7516,0410000098562.jpg___lower.png,Viscose,Skirts,"purple,cyan,blue",screen print,
1819,0540000023769.jpg,Silk,Saree,"red,brown,pink,golden",,"baluchari,tangail"
1819,0540000023769_2.jpg,Silk,Saree,"pink,golden,brown,grey,red",,"baluchari,tangail"
1819,0540000023769_1.jpg___full.png,Silk,Saree,"brown,yellow,pink",,"baluchari,tangail"
1839,0540000023217.jpg,Silk,Saree,"orange,red,pink,green","floral,screen print",
1839,0540000023217.jpg___full.png,Silk,Saree,"orange,red,pink,green","floral,screen print",
1839,0540000023217_3.jpg,Silk,Saree,"orange,red,pink,green","floral,screen print",
1839,0540000023217_3.jpg___full.png,Silk,Saree,"orange,red,pink,green","floral,screen print",
204,0560000068186.jpg,Cotton,Saree,"purple,golden,green",block print,
204,0560000068186_2.jpg,Cotton,Saree,"black,golden,green",block print,
204,0560000068186_1.jpg,Cotton,Saree,"black,purple,golden,green",block print,
351,0560000071511.jpg,Cotton,Saree,"grey,green,red",opera,
351,0560000071511_2.jpg,Cotton,Saree,"grey,golden,red",opera,
351,0560000071511_1.jpg,Cotton,Saree,"red,green",opera,
7881,0460000029591.jpg,Cotton,Nightwear,"brown,black,green","embroidery,printed",
7881,0460000029591.jpg___dress.png,Cotton,Nightwear,"brown,black,green","embroidery,printed",
7881,0460000029591_1.jpg,Cotton,Nightwear,"brown,black,green","embroidery,printed",
1837,0540000022789.jpg,Silk,Saree,"grey,purple,green","embroidery,printed",
1837,0540000022789.jpg___full.png,Silk,Saree,"grey,purple,green","embroidery,printed",
1837,0540000022789_2.jpg,Silk,Saree,"grey,purple,green","embroidery,printed",
1837,0540000022789_2.jpg___full.png,Silk,Saree,"grey,purple,green","embroidery,printed",
1837,0540000022789_1.jpg,Silk,Saree,"purple,green","embroidery,printed",
1837,0540000022789_1.jpg___full.png,Silk,Saree,"purple,green","embroidery,printed",
834,0560000069311.jpg,Cotton,Saree,"red,black,blue","embroidery,printed",
834,0560000069311_2.jpg,Cotton,Saree,"red,black,blue","embroidery,printed",
834,0560000069311_1.jpg___dress.png,Cotton,Saree,"red,black,blue","embroidery,printed",
3193,0410000104578.jpg,Viscose,Maternity,"grey,green","embroidery,printed",
3193,0410000104578.jpg___dress.png,Viscose,Maternity,"grey,green","embroidery,printed",
3193,0410000104578.jpg___full.png,Viscose,Maternity,"grey,green","embroidery,printed",
3193,0410000104578_3.jpg,Viscose,Maternity,"grey,green","embroidery,printed",
3193,0410000104578_1.jpg___full.png,Viscose,Maternity,"grey,green","embroidery,printed",
327,0560000070978.jpg,Cotton,Saree,"red,pink,blue,green",screen print,
327,0560000070978.jpg___full.png,Cotton,Saree,"red,pink,blue,green",screen print,
327,0560000070978_2.jpg,Cotton,Saree,"red,blue,green",screen print,
327,0560000070978_1.jpg___dress.png,Cotton,Saree,"red,pink,blue,green",screen print,
2984,0430000118633.jpg,Silk,Shalwar Kameez,"grey,purple","embroidery,printed",
2984,0430000118633.jpg___dress.png,Silk,Shalwar Kameez,"grey,purple,white","embroidery,printed",
2984,0430000118633_2.jpg,Silk,Shalwar Kameez,"grey,purple,white","embroidery,printed",
2984,0430000118633_1.jpg,Silk,Shalwar Kameez,"grey,purple,white","embroidery,printed",
2984,0430000118633_1.jpg___dress.png,Silk,Shalwar Kameez,"grey,purple,white","embroidery,printed",
2257,0550000147431.jpg,Silk,Saree,"red,pink,blue",buti,
2257,0550000147431.jpg___dress.png,Silk,Saree,"red,pink,blue",buti,
2257,0550000147431_2.jpg,Silk,Saree,"orange,red,pink,blue",buti,
317,0560000066245.jpg,Cotton,Saree,"purple,pink,cyan,blue",,tangail
317,0560000066245.jpg___full.png,Cotton,Saree,"purple,pink,cyan,blue",,tangail
317,0560000066245_2.jpg,Cotton,Saree,"orange,pink,cyan,blue",,tangail
3203,0410000102153.jpg,Viscose,Maternity,"red,brown,blue",screen print,
3203,0410000102153_2.jpg,Viscose,Maternity,"red,brown,black,blue",screen print,
1172,0560000069071.jpg,Cotton,Saree,"brown,yellow,pink",screen print,
1172,0560000069071.jpg___full.png,Cotton,Saree,"brown,yellow,pink",screen print,
1172,0560000069071_2.jpg,Cotton,Saree,"brown,yellow,pink",screen print,
1172,0560000069071_1.jpg,Cotton,Saree,"brown,yellow,pink",screen print,
3223,0410000101531.jpg,Viscose,Maternity,"pink,green","embroidery,printed",
3223,0410000101531.jpg___full.png,Viscose,Maternity,"pink,green","embroidery,printed",
3223,0410000101531_1.jpg,Viscose,Maternity,"red,pink,green","embroidery,printed",
837,0560000069095.jpg,Cotton,Saree,"pink,blue","applique,embroidery",applique
837,0560000069095_2.jpg,Cotton,Saree,"pink,blue","applique,embroidery",applique
837,0560000069095_1.jpg,Cotton,Saree,"red,pink,blue","applique,embroidery",applique
3465,0660000104920.jpg,Viscose,Shawls,pink,dye,"handloom,fringe"
3465,0660000104920.jpg,Viscose,Shawls,pink,dye,"handloom,fringe"
3465,0660000104920_1.jpg,Viscose,Shawls,pink,dye,"handloom,fringe"
85,0560000069370.jpg,Cotton,Saree,"blue,white","dye,block print",
85,0560000069370_2.jpg,Cotton,Saree,"orange,blue,white","dye,block print",
85,0560000069370_1.jpg,Cotton,Saree,"pink,blue,green,orange,white","dye,block print",
974,0560000066673.jpg,Cotton,Saree,"pink,blue,green",block print,
974,0560000066673_2.jpg,Cotton,Saree,"red,pink,green",block print,
974,0560000066673_1.jpg,Cotton,Saree,"pink,blue,green",block print,
6886,0570000124362.jpg,Viscose Blend,Panjabi,"grey,pink","block print,textured",
6886,0570000124362.jpg___upper.png,Viscose Blend,Panjabi,pink,"block print,textured",
6886,0570000124362_1.jpg,Viscose Blend,Panjabi,"grey,pink","block print,textured",
243,0560000073564.jpg,Cotton,Saree,"grey,cyan,golden",,
243,0560000073564_2.jpg,Cotton,Saree,"grey,cyan,golden",,
243,0560000073564_1.jpg,Cotton,Saree,"grey,cyan,golden",,
7905,0460000029671.jpg,Cotton,Nightwear,"grey,pink,white","screen print,striped",lace
7905,0460000029671.jpg___dress.png,Cotton,Nightwear,"grey,pink,white","screen print,striped",lace
7905,0460000029671_1.jpg,Cotton,Nightwear,"grey,pink,white","screen print,striped",lace
3424,0410000101716.jpg,Cotton,Maternity,purple,printed,
3424,0410000101716_1.jpg,Cotton,Maternity,"orange,purple,pink",printed,
7257,0570000117720.jpg,Viscose,Panjabi,"brown,black,golden","block print,textured",
7257,0570000117720_2.jpg,Viscose,Panjabi,"red,brown,black","block print,textured",
2158,0540000022438.jpg,Silk,Saree,"black,blue,cyan,green","embroidery,nakshi",nakshi
2158,0540000022438_2.jpg,Silk,Saree,"blue,cyan,green","embroidery,nakshi",nakshi
2158,0540000022438_1.jpg,Silk,Saree,"blue,cyan,green","embroidery,nakshi",nakshi
1814,0540000022115.jpg,Silk,Saree,"brown,black,white","embroidery,printed",
1814,0540000022115_3.jpg,Silk,Saree,"brown,black,white","embroidery,printed",
1814,0540000022115_1.jpg,Silk,Saree,"brown,black,white","embroidery,printed",
